index, x, y
608, 7, 33
609, 8, 33
610, 9, 33
611, 10, 33
612, 11, 33
613, 12, 33
614, 13, 33
615, 14, 33
616, 15, 33
617, 16, 33
618, 17, 33
619, 18, 33
620, 19, 33
621, 20, 33
622, 21, 33
623, 22, 33
624, 23, 33
625, 24, 33
626, 25, 33
627, 26, 33
628, 27, 33
629, 28, 33
630, 29, 33
631, 30, 33
632, 31, 33
633, 32, 33
634, 33, 33
635, 34, 33
636, 35, 33
637, 36, 33
638, 37, 33
639, 38, 33
640, 39, 33
641, 40, 33
642, 41, 33
643, 42, 33
644, 43, 33
645, 44, 33
646, 45, 33
647, 0, 32
648, 1, 32
649, 2, 32
650, 3, 32
651, 4, 32
652, 5, 32
653, 6, 32
654, 7, 32
655, 8, 32
656, 9, 32
657, 10, 32
658, 11, 32
659, 12, 32
660, 13, 32
661, 14, 32
662, 15, 32
663, 16, 32
664, 17, 32
665, 18, 32
666, 19, 32
667, 20, 32
668, 21, 32
669, 22, 32
670, 23, 32
671, 24, 32
672, 25, 32
673, 26, 32
674, 27, 32
675, 28, 32
676, 29, 32
677, 30, 32
678, 31, 32
679, 32, 32
680, 33, 32
681, 34, 32
682, 35, 32
683, 36, 32
684, 37, 32
685, 38, 32
686, 39, 32
687, 40, 32
688, 41, 32
689, 42, 32
690, 43, 32
691, 44, 32
692, 45, 32
693, 46, 32
694, 0, 31
695, 1, 31
696, 2, 31
697, 3, 31
698, 4, 31
699, 5, 31
700, 6, 31
701, 7, 31
702, 8, 31
703, 9, 31
704, 10, 31
705, 11, 31
706, 12, 31
707, 13, 31
708, 14, 31
709, 15, 31
710, 16, 31
711, 17, 31
712, 18, 31
713, 19, 31
714, 20, 31
715, 21, 31
716, 22, 31
717, 23, 31
718, 24, 31
719, 25, 31
720, 26, 31
721, 27, 31
722, 28, 31
723, 29, 31
724, 30, 31
725, 31, 31
726, 32, 31
727, 33, 31
728, 34, 31
729, 35, 31
730, 36, 31
731, 37, 31
732, 38, 31
733, 39, 31
734, 40, 31
735, 41, 31
736, 42, 31
737, 43, 31
738, 44, 31
739, 45, 31
740, 46, 31
741, 47, 31
742, 0, 30
743, 1, 30
744, 2, 30
745, 3, 30
746, 4, 30
747, 5, 30
748, 6, 30
749, 7, 30
750, 8, 30
751, 9, 30
752, 10, 30
753, 11, 30
754, 12, 30
755, 13, 30
756, 14, 30
757, 15, 30
758, 16, 30
759, 17, 30
760, 18, 30
761, 19, 30
762, 20, 30
763, 21, 30
764, 22, 30
765, 23, 30
766, 24, 30
767, 25, 30
768, 26, 30
769, 27, 30
770, 28, 30
771, 29, 30
772, 30, 30
773, 31, 30
774, 32, 30
775, 33, 30
776, 34, 30
777, 35, 30
778, 36, 30
779, 37, 30
780, 38, 30
781, 39, 30
782, 40, 30
783, 41, 30
784, 42, 30
785, 43, 30
786, 44, 30
787, 45, 30
788, 46, 30
789, 47, 30
790, 48, 30
791, 0, 29
792, 1, 29
793, 2, 29
794, 3, 29
795, 4, 29
796, 5, 29
797, 6, 29
798, 7, 29
799, 8, 29
800, 9, 29
801, 10, 29
802, 11, 29
803, 12, 29
804, 13, 29
805, 14, 29
806, 15, 29
807, 16, 29
808, 17, 29
809, 18, 29
810, 19, 29
811, 20, 29
812, 21, 29
813, 22, 29
814, 23, 29
815, 24, 29
816, 25, 29
817, 26, 29
818, 27, 29
819, 28, 29
820, 29, 29
821, 30, 29
822, 31, 29
823, 32, 29
824, 33, 29
825, 34, 29
826, 35, 29
827, 36, 29
828, 37, 29
829, 38, 29
830, 39, 29
831, 40, 29
832, 41, 29
833, 42, 29
834, 43, 29
835, 44, 29
836, 45, 29
837, 46, 29
838, 47, 29
839, 48, 29
840, 49, 29
841, 0, 28
842, 1, 28
843, 2, 28
844, 3, 28
845, 4, 28
846, 5, 28
847, 6, 28
848, 7, 28
849, 8, 28
850, 9, 28
851, 10, 28
852, 11, 28
853, 12, 28
854, 13, 28
855, 14, 28
856, 15, 28
857, 16, 28
858, 17, 28
859, 18, 28
860, 19, 28
861, 20, 28
862, 21, 28
863, 22, 28
864, 23, 28
865, 24, 28
866, 25, 28
867, 26, 28
868, 27, 28
869, 28, 28
870, 29, 28
871, 30, 28
872, 31, 28
873, 32, 28
874, 33, 28
875, 34, 28
876, 35, 28
877, 36, 28
878, 37, 28
879, 38, 28
880, 39, 28
881, 40, 28
882, 41, 28
883, 42, 28
884, 43, 28
885, 44, 28
886, 45, 28
887, 46, 28
888, 47, 28
889, 48, 28
890, 49, 28
891, 0, 27
892, 1, 27
893, 2, 27
894, 3, 27
895, 4, 27
896, 5, 27
897, 6, 27
898, 7, 27
899, 8, 27
900, 9, 27
901, 10, 27
902, 11, 27
903, 12, 27
904, 13, 27
905, 14, 27
906, 15, 27
907, 16, 27
908, 17, 27
909, 18, 27
910, 19, 27
911, 20, 27
912, 21, 27
913, 22, 27
914, 23, 27
915, 24, 27
916, 25, 27
917, 26, 27
918, 27, 27
919, 28, 27
920, 29, 27
921, 30, 27
922, 31, 27
923, 32, 27
924, 33, 27
925, 34, 27
926, 35, 27
927, 36, 27
928, 37, 27
929, 38, 27
930, 39, 27
931, 40, 27
932, 41, 27
933, 42, 27
934, 43, 27
935, 44, 27
936, 45, 27
937, 46, 27
938, 47, 27
939, 48, 27
940, 49, 27
941, 0, 26
942, 1, 26
943, 2, 26
944, 3, 26
945, 4, 26
946, 5, 26
947, 6, 26
948, 7, 26
949, 8, 26
950, 9, 26
951, 10, 26
952, 11, 26
953, 12, 26
954, 13, 26
955, 14, 26
956, 15, 26
957, 16, 26
958, 17, 26
959, 18, 26
960, 19, 26
961, 20, 26
962, 21, 26
963, 22, 26
964, 23, 26
965, 24, 26
966, 25, 26
967, 26, 26
968, 27, 26
969, 28, 26
970, 29, 26
971, 30, 26
972, 31, 26
973, 32, 26
974, 33, 26
975, 34, 26
976, 35, 26
977, 36, 26
978, 37, 26
979, 38, 26
980, 39, 26
981, 40, 26
982, 41, 26
983, 42, 26
984, 43, 26
985, 44, 26
986, 45, 26
987, 46, 26
988, 47, 26
989, 48, 26
990, 49, 26
991, 0, 25
992, 1, 25
993, 2, 25
994, 3, 25
995, 4, 25
996, 5, 25
997, 6, 25
998, 7, 25
999, 8, 25
1000, 9, 25
1001, 10, 25
1002, 11, 25
1003, 12, 25
1004, 13, 25
1005, 14, 25
1006, 15, 25
1007, 16, 25
1008, 17, 25
1009, 18, 25
1010, 19, 25
1011, 20, 25
1012, 21, 25
1013, 22, 25
1014, 23, 25
1015, 24, 25
1016, 25, 25
1017, 26, 25
1018, 27, 25
1019, 28, 25
1020, 29, 25
1021, 30, 25
1022, 31, 25
1023, 32, 25
1024, 33, 25
1025, 34, 25
1026, 35, 25
1027, 36, 25
1028, 37, 25
1029, 38, 25
1030, 39, 25
1031, 40, 25
1032, 41, 25
1033, 42, 25
1034, 43, 25
1035, 44, 25
1036, 45, 25
1037, 46, 25
1038, 47, 25
1039, 48, 25
1040, 49, 25
1041, 0, 24
1042, 1, 24
1043, 2, 24
1044, 3, 24
1045, 4, 24
1046, 5, 24
1047, 6, 24
1048, 7, 24
1049, 8, 24
1050, 9, 24
1051, 10, 24
1052, 11, 24
1053, 12, 24
1054, 13, 24
1055, 14, 24
1056, 15, 24
1057, 16, 24
1058, 17, 24
1059, 18, 24
1060, 19, 24
1061, 20, 24
1062, 21, 24
1063, 22, 24
1064, 23, 24
1065, 24, 24
1066, 25, 24
1067, 26, 24
1068, 27, 24
1069, 28, 24
1070, 29, 24
1071, 30, 24
1072, 31, 24
1073, 32, 24
1074, 33, 24
1075, 34, 24
1076, 35, 24
1077, 36, 24
1078, 37, 24
1079, 38, 24
1080, 39, 24
1081, 40, 24
1082, 41, 24
1083, 42, 24
1084, 43, 24
1085, 44, 24
1086, 45, 24
1087, 46, 24
1088, 47, 24
1089, 48, 24
1090, 49, 24
1091, 0, 23
1092, 1, 23
1093, 2, 23
1094, 3, 23
1095, 4, 23
1096, 5, 23
1097, 6, 23
1098, 7, 23
1099, 8, 23
1100, 9, 23
1101, 10, 23
1102, 11, 23
1103, 12, 23
1104, 13, 23
1105, 14, 23
1106, 15, 23
1107, 16, 23
1108, 17, 23
1109, 18, 23
1110, 19, 23
1111, 20, 23
1112, 21, 23
