index, temperature
531, 122.685750198
532, 127.684273583
533, 132.68459067
534, 137.681200338
535, 142.667472703
536, 147.635661922
537, 152.577002234
538, 157.481906997
539, 162.340281393
540, 167.141943467
541, 171.877127475
542, 176.537023202
543, 181.114292827
544, 185.603509256
545, 190.001477369
546, 194.307425837
547, 198.523082728
548, 202.652665826
549, 206.702825709
550, 210.682576979
551, 214.603242656
552, 218.47841981
553, 222.323949395
554, 226.157835469
555, 230.0
556, 30.0
557, 34.7471473296
558, 39.4955747707
559, 44.2465521237
560, 49.0013280196
561, 53.7611179528
562, 58.527090611
563, 63.3003518711
564, 68.0819257707
565, 72.8727317097
566, 77.6735570779
567, 82.4850244568
568, 87.3075525338
569, 92.1413099027
570, 96.9861610668
571, 101.841604231
572, 106.706700969
573, 111.579998602
574, 116.459447308
575, 121.342315513
576, 126.225109237
577, 131.1035035
578, 135.972296628
579, 140.825400717
580, 145.655883065
581, 150.456072919
582, 155.217744494
583, 159.932380117
584, 164.591506608
585, 169.187085471
586, 173.711926088
587, 178.160085156
588, 182.527217876
589, 186.810857166
590, 191.010613139
591, 195.128301719
592, 199.168024311
593, 203.136228126
594, 207.041778677
595, 210.896072783
596, 214.71321162
597, 218.51023606
598, 222.307392481
599, 226.128329944
600, 230.0
601, 30.0
602, 34.6952816673
603, 39.3915485812
604, 44.0897739218
605, 48.7909062395
606, 53.4958558889
607, 58.2054799361
608, 62.9205649933
609, 67.641807407
610, 72.3697902018
611, 77.1049561694
612, 81.8475764997
613, 86.5977143982
614, 91.3551832415
615, 96.1194990236
616, 100.889827171
617, 105.664924307
618, 110.443076264
619, 115.22203462
620, 119.998955309
621, 124.770344351
622, 129.532017466
623, 134.279081955
624, 139.005950471
625, 143.706396703
626, 148.373661881
627, 153.000617945
628, 157.579987971
629, 162.104617376
630, 166.567781713
631, 170.963510525
632, 175.286903831
633, 179.534419928
634, 183.704120279
635, 187.795867835
636, 191.811486698
637, 195.754901574
638, 199.632283805
639, 203.452236821
640, 207.226058177
641, 210.968117827
642, 214.696390745
643, 218.433168449
644, 222.205927295
645, 226.048202335
646, 230.0
647, 30.0
648, 34.6424307584
649, 39.285563965
650, 43.9300887428
651, 48.5766671277
652, 53.2259194272
653, 57.8784082511
654, 62.534620759
655, 67.1949486623
656, 71.8596655211
657, 76.5289008982
658, 81.2026109745
659, 85.8805453179
660, 90.5622096416
661, 95.2468246151
662, 99.9332811217
663, 104.620092824
664, 109.305347525
665, 113.986659601
666, 118.661126753
667, 123.32529539
668, 127.97514006
669, 132.606063257
670, 137.212922508
671, 141.790091395
672, 146.331559958
673, 150.831077432
674, 155.282336447
675, 159.679193213
676, 164.015913481
677, 168.287430466
678, 172.489599716
679, 176.619437724
680, 180.675336187
681, 184.657251225
682, 188.566875663
683, 192.407811482
684, 196.185768699
685, 199.908826626
686, 203.587805279
687, 207.236810765
688, 210.874040643
689, 214.522963277
690, 218.214008452
691, 221.986882044
692, 225.893406485
693, 230.0
694, 30.0
695, 34.5888774014
696, 39.1781877774
697, 43.7683499566
698, 48.3597541015
699, 52.9527464412
700, 57.547612882
701, 62.1445611294
702, 66.743700962
703, 71.345022322
704, 75.9483709277
705, 80.5534211823
706, 85.1596462572
707, 89.7662853917
708, 94.3723086734
709, 98.9763798764
710, 103.576818344
711, 108.171561413
712, 112.758129506
713, 117.33359671
714, 121.894570399
715, 126.437184125
716, 130.957108503
717, 135.449584911
718, 139.909486409
719, 144.331409125
720, 148.709795379
721, 153.03908717
722, 157.313905549
723, 161.52924853
724, 165.680698143
725, 169.764626843
726, 173.778395067
727, 177.720535518
728, 181.590925216
729, 185.390953248
730, 189.12369999
731, 192.794152884
732, 196.409495703
733, 199.979525549
734, 203.51727931
735, 207.039997784
736, 210.570635563
737, 214.140261193
738, 217.791910905
739, 221.586743895
740, 225.613414921
741, 230.0
742, 30.0
743, 34.5348910699
744, 39.0699597868
745, 43.6053692046
746, 48.1412528805
747, 52.6776993539
748, 57.2147357062
749, 61.7523099147
750, 66.2902717345
751, 70.8283518771
752, 75.3661393084
753, 79.9030565697
754, 84.4383331369
755, 88.9709769948
756, 93.4997448103
757, 98.0231113669
758, 102.539239261
759, 107.045950275
760, 111.540700299
761, 116.020560184
762, 120.48220537
763, 124.921917538
764, 129.33560172
765, 133.718822223
766, 138.066860207
767, 142.374794754
768, 146.63760779
